lr,batch_size,epoch,wxh-stride,acc,loss,trial_num
0.0001,32.0,10.0,15x15-10,0.05752577319587628,2.8890576720237733,4.5
0.0001,32.0,10.0,20x20-10,0.056144067796610166,2.889789044062297,4.5
0.0001,32.0,10.0,25x25-10,0.06973684210526315,2.889073899586996,4.5
0.0001,32.0,10.0,5x60-10,0.05782881002087683,2.8898440472284954,4.5
0.0001,32.0,15.0,15x15-10,0.06247422680412371,2.8885417371988296,4.5
0.0001,32.0,15.0,20x20-10,0.056779661016949146,2.889433430035909,4.5
0.0001,32.0,15.0,25x25-10,0.0611842105263158,2.8885109138488767,4.5
0.0001,32.0,15.0,5x60-10,0.060751565762004175,2.8890388806660967,4.5
0.0001,32.0,20.0,15x15-10,0.05876288659793814,2.887826956808567,4.5
0.0001,32.0,20.0,20x20-10,0.05932203389830508,2.888390080134074,4.5
0.0001,32.0,20.0,25x25-10,0.06491228070175438,2.8875469541549683,4.5
0.0001,32.0,20.0,5x60-10,0.06200417536534447,2.8883307695388796,4.5
0.0001,64.0,10.0,15x15-10,0.061030927835051554,2.8899176478385926,4.5
0.0001,64.0,10.0,20x20-10,0.0569915254237288,2.8909407794475555,4.5
0.0001,64.0,10.0,25x25-10,0.06447368421052631,2.8904055804014206,4.5
0.0001,64.0,10.0,5x60-10,0.05490605427974947,2.890415182709694,4.5
0.0001,64.0,15.0,15x15-10,0.06082474226804124,2.8898414105176924,4.5
0.0001,64.0,15.0,20x20-10,0.05741525423728814,2.8904623985290527,4.5
0.0001,64.0,15.0,25x25-10,0.0625,2.889604318141937,4.5
0.0001,64.0,15.0,5x60-10,0.058455114822546964,2.890399459004402,4.5
0.0001,64.0,20.0,15x15-10,0.06329896907216495,2.8891832649707796,4.5
0.0001,64.0,20.0,20x20-10,0.0625,2.889646363258362,4.5
0.0001,64.0,20.0,25x25-10,0.06140350877192983,2.8892056703567506,4.5
0.0001,64.0,20.0,5x60-10,0.062839248434238,2.8901103734970093,4.5
0.0001,128.0,10.0,15x15-10,0.057731958762886594,2.8903316855430603,4.5
0.0001,128.0,10.0,20x20-10,0.05254237288135594,2.891278785467148,4.5
0.0001,128.0,10.0,25x25-10,0.06359649122807016,2.8901934742927553,4.5
0.0001,128.0,10.0,5x60-10,0.060125260960334034,2.8909481942653654,4.5
0.0001,128.0,15.0,15x15-10,0.06082474226804123,2.89005126953125,4.5
0.0001,128.0,15.0,20x20-10,0.05148305084745762,2.8913188755512236,4.5
0.0001,128.0,15.0,25x25-10,0.06469298245614034,2.889693057537079,4.5
0.0001,128.0,15.0,5x60-10,0.055323590814196244,2.891014164686203,4.5
0.0001,128.0,20.0,15x15-10,0.06309278350515465,2.8897655606269836,4.5
0.0001,128.0,20.0,20x20-10,0.057415254237288126,2.8909990787506104,4.5
