lr,batch_size,epoch,wxh-stride,acc,loss,trial_num
0.0001,32.0,10.0,15x15-10,0.06020618556701031,2.8897902011871337,4.5
0.0001,32.0,10.0,20x20-10,0.04915254237288135,2.8901794465382897,4.5
0.0001,32.0,10.0,25x25-10,0.05307017543859649,2.8896421273549397,4.5
0.0001,32.0,10.0,5x60-10,0.05824634655532359,2.890027796427409,4.5
0.0001,32.0,15.0,15x15-10,0.06309278350515464,2.890355925261974,4.5
0.0001,32.0,15.0,20x20-10,0.05741525423728814,2.888605370521545,4.5
0.0001,32.0,15.0,25x25-10,0.06206140350877193,2.8881992801030476,4.5
0.0001,32.0,15.0,5x60-10,0.06409185803757829,2.8887628364562987,4.5
0.0001,32.0,20.0,15x15-10,0.06144329896907217,2.8880083486437798,4.5
0.0001,32.0,20.0,20x20-10,0.05614406779661017,2.8870969486236575,4.5
0.0001,32.0,20.0,25x25-10,0.06557017543859647,2.8859427897135417,4.5
0.0001,32.0,20.0,5x60-10,0.0709812108559499,2.8876106802622474,4.5
0.0001,64.0,10.0,15x15-10,0.0579381443298969,2.8927807182073595,4.5
0.0001,64.0,10.0,20x20-10,0.05063559322033898,2.8918874979019167,4.5
0.0001,64.0,10.0,25x25-10,0.05285087719298245,2.8911953270435333,4.5
0.0001,64.0,10.0,5x60-10,0.05866388308977035,2.891508090496063,4.5
0.0001,64.0,15.0,15x15-10,0.0579381443298969,2.8918381363153456,4.5
0.0001,64.0,15.0,20x20-10,0.05233050847457628,2.891108971834183,4.5
0.0001,64.0,15.0,25x25-10,0.05592105263157894,2.8909628719091414,4.5
0.0001,64.0,15.0,5x60-10,0.055949895615866385,2.890318328142166,4.5
0.0001,64.0,20.0,15x15-10,0.057731958762886594,2.8912082105875014,4.5
0.0001,64.0,20.0,20x20-10,0.048940677966101694,2.8901063919067385,4.5
0.0001,64.0,20.0,25x25-10,0.05482456140350876,2.8890837848186495,4.5
0.0001,64.0,20.0,5x60-10,0.05762004175365345,2.890040320158005,4.5
0.0001,128.0,10.0,15x15-10,0.054226804123711336,2.8939044952392576,4.5
0.0001,128.0,10.0,20x20-10,0.04978813559322033,2.893159884214401,4.5
0.0001,128.0,10.0,25x25-10,0.0462719298245614,2.893251770734787,4.5
0.0001,128.0,10.0,5x60-10,0.06012526096033403,2.8921912133693697,4.5
0.0001,128.0,15.0,15x15-10,0.05793814432989691,2.8933713316917418,4.5
0.0001,128.0,15.0,20x20-10,0.05042372881355932,2.892527002096176,4.5
0.0001,128.0,15.0,25x25-10,0.05087719298245613,2.89226958155632,4.5
0.0001,128.0,15.0,5x60-10,0.06200417536534447,2.891679126024246,4.5
0.0001,128.0,20.0,15x15-10,0.05835051546391753,2.8925810158252716,4.5
0.0001,128.0,20.0,20x20-10,0.05063559322033898,2.89183366894722,4.5
0.0001,128.0,20.0,25x25-10,0.05307017543859649,2.8913283824920653,4.5
0.0001,128.0,20.0,5x60-10,0.05762004175365345,2.891431379318237,4.5
0.001,32.0,10.0,15x15-10,0.0775257731958763,2.859964480996132,4.5
0.001,32.0,10.0,20x20-10,0.06546610169491526,2.8636248079935713,4.5
0.001,32.0,10.0,25x25-10,0.07785087719298246,2.855182412465413,4.5
0.001,32.0,10.0,5x60-10,0.06722338204592901,2.869098358154297,4.5
0.001,32.0,15.0,15x15-10,0.17175257731958765,2.78320574760437,4.5
0.001,32.0,15.0,20x20-10,0.10953389830508475,2.818581495285034,4.5
0.001,32.0,15.0,25x25-10,0.16798245614035084,2.7922440083821614,4.5
0.001,32.0,15.0,5x60-10,0.08162839248434238,2.841847492853801,4.5
0.001,32.0,20.0,15x15-10,0.41360824742268043,2.011041385680437,4.5
0.001,32.0,20.0,20x20-10,0.21991525423728814,2.500428768793742,4.5
0.001,32.0,20.0,25x25-10,0.34342105263157896,2.254477128187815,4.5
0.001,32.0,20.0,5x60-10,0.13319415448851774,2.7102014716466267,4.5
0.001,64.0,10.0,15x15-10,0.06494845360824741,2.8804389894008637,4.5
0.001,64.0,10.0,20x20-10,0.061228813559322026,2.8794503062963486,4.5
0.001,64.0,10.0,25x25-10,0.0668859649122807,2.876061645150185,4.5
0.001,64.0,10.0,5x60-10,0.06200417536534446,2.880882441997528,4.5
0.001,64.0,15.0,15x15-10,0.07484536082474227,2.8722419917583464,4.5
0.001,64.0,15.0,20x20-10,0.0739406779661017,2.8714901506900787,4.5
0.001,64.0,15.0,25x25-10,0.06995614035087719,2.8680152982473373,4.5
0.001,64.0,15.0,5x60-10,0.06701461377870563,2.8751527637243273,4.5
0.001,64.0,20.0,15x15-10,0.07402061855670103,2.8605488717556,4.5
0.001,64.0,20.0,20x20-10,0.0701271186440678,2.8618131190538407,4.5
0.001,64.0,20.0,25x25-10,0.07565789473684212,2.853025335073471,4.5
0.001,64.0,20.0,5x60-10,0.06534446764091859,2.869441866874695,4.5
0.001,128.0,10.0,15x15-10,0.05958762886597938,2.8869715690612794,4.5
0.001,128.0,10.0,20x20-10,0.05826271186440678,2.8861914217472076,4.5
0.001,128.0,10.0,25x25-10,0.06557017543859647,2.884850013256073,4.5
0.001,128.0,10.0,5x60-10,0.06784968684759916,2.8867397964000703,4.5
0.001,128.0,15.0,15x15-10,0.06474226804123712,2.8834060430526733,4.5
0.001,128.0,15.0,20x20-10,0.059745762711864416,2.882632726430893,4.5
0.001,128.0,15.0,25x25-10,0.07390350877192982,2.880266636610031,4.5
0.001,128.0,15.0,5x60-10,0.06471816283924844,2.883833169937134,4.5
0.001,128.0,20.0,15x15-10,0.0647422680412371,2.879717928171158,4.5
0.001,128.0,20.0,20x20-10,0.06334745762711864,2.8789474606513976,4.5
0.001,128.0,20.0,25x25-10,0.0668859649122807,2.874724930524826,4.5
0.001,128.0,20.0,5x60-10,0.06200417536534447,2.881389397382736,4.5
0.01,32.0,10.0,15x15-10,0.9529896907216495,0.1476330154342577,4.5
0.01,32.0,10.0,20x20-10,0.9529661016949152,0.14948561328463256,4.5
0.01,32.0,10.0,25x25-10,0.9864035087719298,0.05612138584566613,4.5
0.01,32.0,10.0,5x60-10,0.28935281837160753,1.9134151037534077,4.5
0.01,32.0,15.0,15x15-10,0.9585567010309278,0.129178427986335,4.5
0.01,32.0,15.0,20x20-10,0.971822033898305,0.08312443407097211,4.5
0.01,32.0,15.0,25x25-10,0.9940789473684211,0.018636266189666156,4.5
0.01,32.0,15.0,5x60-10,0.5546972860125261,1.2346167031923927,4.5
0.01,32.0,20.0,15x15-10,0.9674226804123711,0.10780346685787663,4.5
0.01,32.0,20.0,20x20-10,0.9851694915254237,0.04789813322752403,4.5
0.01,32.0,20.0,25x25-10,0.9956140350877194,0.01145656103064539,4.5
0.01,32.0,20.0,5x60-10,0.7100208768267222,0.8453984316190086,4.5
0.01,64.0,10.0,15x15-10,0.9181443298969073,0.27682087095454333,4.5
0.01,64.0,10.0,20x20-10,0.7783898305084745,0.6511297715827823,4.5
0.01,64.0,10.0,25x25-10,0.918640350877193,0.2421390018425882,4.5
0.01,64.0,10.0,5x60-10,0.2507306889352819,2.0688636526465416,4.5
0.01,64.0,15.0,15x15-10,0.9595876288659794,0.13767159976996482,4.5
0.01,64.0,15.0,20x20-10,0.9322033898305084,0.22345855040475726,4.5
0.01,64.0,15.0,25x25-10,0.9774122807017542,0.07865585424588062,4.5
0.01,64.0,15.0,5x60-10,0.26993736951983294,1.9778596863150597,4.5
0.01,64.0,20.0,15x15-10,0.9618556701030927,0.12117728863377124,4.5
0.01,64.0,20.0,20x20-10,0.9646186440677967,0.11596866082400084,4.5
0.01,64.0,20.0,25x25-10,0.9874999999999998,0.03876290079315368,4.5
0.01,64.0,20.0,5x60-10,0.3572025052192067,1.7178371623158455,4.5
0.01,128.0,10.0,15x15-10,0.39649484536082474,1.9822515219449997,4.5
0.01,128.0,10.0,20x20-10,0.1966101694915254,2.504228186607361,4.5
0.01,128.0,10.0,25x25-10,0.3173245614035088,2.2537807494401934,4.5
0.01,128.0,10.0,5x60-10,0.12296450939457201,2.728470152616501,4.5
0.01,128.0,15.0,15x15-10,0.8074226804123711,0.5698653366416693,4.5
0.01,128.0,15.0,20x20-10,0.6264830508474576,1.1399646900594234,4.5
0.01,128.0,15.0,25x25-10,0.7550438596491229,0.7150761380791664,4.5
0.01,128.0,15.0,5x60-10,0.23987473903966597,2.0974571615457536,4.5
0.01,128.0,20.0,15x15-10,0.9224742268041238,0.24885397497564554,4.5
0.01,128.0,20.0,20x20-10,0.8559322033898304,0.4563174096867442,4.5
0.01,128.0,20.0,25x25-10,0.8995614035087719,0.2921548103913665,4.5
0.01,128.0,20.0,5x60-10,0.2764091858037578,1.9553373843431472,4.5
