,acc,batch_size,epoch,loss,lr,trial_num,wxh-stride
0,0.04536082474226804,32.0,10.0,2.8869391083717346,0.0001,0.0,15x15-10
1,0.059322033898305086,32.0,10.0,2.8892432848612466,0.0001,0.0,20x20-10
2,0.06359649122807018,32.0,10.0,2.890070152282715,0.0001,0.0,25x25-10
3,0.03549060542797495,32.0,10.0,2.8901230335235595,0.0001,0.0,5x60-10
4,0.04329896907216495,32.0,15.0,2.886796846985817,0.0001,0.0,15x15-10
5,0.0423728813559322,32.0,15.0,2.8892423152923583,0.0001,0.0,20x20-10
6,0.07456140350877193,32.0,15.0,2.887843608856201,0.0001,0.0,25x25-10
7,0.05845511482254697,32.0,15.0,2.8900928497314453,0.0001,0.0,5x60-10
8,0.07422680412371134,32.0,20.0,2.8872699439525604,0.0001,0.0,15x15-10
9,0.038135593220338986,32.0,20.0,2.8890108108520507,0.0001,0.0,20x20-10
10,0.07894736842105263,32.0,20.0,2.888340393702189,0.0001,0.0,25x25-10
11,0.04801670146137787,32.0,20.0,2.8890795707702637,0.0001,0.0,5x60-10
12,0.05154639175257732,64.0,10.0,2.887324631214142,0.0001,0.0,15x15-10
13,0.04025423728813559,64.0,10.0,2.8909864723682404,0.0001,0.0,20x20-10
14,0.046052631578947366,64.0,10.0,2.891389161348343,0.0001,0.0,25x25-10
15,0.04592901878914405,64.0,10.0,2.8911599814891815,0.0001,0.0,5x60-10
16,0.04742268041237113,64.0,15.0,2.888567477464676,0.0001,0.0,15x15-10
17,0.03389830508474576,64.0,15.0,2.8914011120796204,0.0001,0.0,20x20-10
18,0.06798245614035088,64.0,15.0,2.8871187567710876,0.0001,0.0,25x25-10
19,0.03966597077244259,64.0,15.0,2.8915464878082275,0.0001,0.0,5x60-10
20,0.05979381443298969,64.0,20.0,2.8881801664829254,0.0001,0.0,15x15-10
21,0.0614406779661017,64.0,20.0,2.889664947986603,0.0001,0.0,20x20-10
22,0.04824561403508772,64.0,20.0,2.8908205926418304,0.0001,0.0,25x25-10
23,0.054279749478079335,64.0,20.0,2.891191840171814,0.0001,0.0,5x60-10
24,0.04536082474226804,128.0,10.0,2.8893174529075623,0.0001,0.0,15x15-10
25,0.036016949152542374,128.0,10.0,2.8922780752182007,0.0001,0.0,20x20-10
26,0.05921052631578947,128.0,10.0,2.8902799487113953,0.0001,0.0,25x25-10
27,0.04801670146137787,128.0,10.0,2.8916985392570496,0.0001,0.0,5x60-10
28,0.05154639175257732,128.0,15.0,2.8875802755355835,0.0001,0.0,15x15-10
29,0.05084745762711865,128.0,15.0,2.8914719820022583,0.0001,0.0,20x20-10
30,0.04824561403508772,128.0,15.0,2.892120122909546,0.0001,0.0,25x25-10
31,0.03966597077244259,128.0,15.0,2.8930495977401733,0.0001,0.0,5x60-10
32,0.05567010309278351,128.0,20.0,2.8876155018806458,0.0001,0.0,15x15-10
33,0.046610169491525424,128.0,20.0,2.8914767503738403,0.0001,0.0,20x20-10
34,0.046052631578947366,128.0,20.0,2.890924334526062,0.0001,0.0,25x25-10
35,0.04384133611691023,128.0,20.0,2.8923884630203247,0.0001,0.0,5x60-10
36,0.05979381443298969,32.0,10.0,2.882051393389702,0.001,0.0,15x15-10
37,0.057203389830508475,32.0,10.0,2.8778570810953776,0.001,0.0,20x20-10
38,0.06359649122807018,32.0,10.0,2.874945561091105,0.001,0.0,25x25-10
39,0.07515657620041753,32.0,10.0,2.8761931737263997,0.001,0.0,5x60-10
40,0.07628865979381444,32.0,15.0,2.8830424398183823,0.001,0.0,15x15-10
41,0.0635593220338983,32.0,15.0,2.8722535292307536,0.001,0.0,20x20-10
42,0.07017543859649122,32.0,15.0,2.867165279388428,0.001,0.0,25x25-10
43,0.0709812108559499,32.0,15.0,2.8698322772979736,0.001,0.0,5x60-10
44,0.07216494845360824,32.0,20.0,2.875359058380127,0.001,0.0,15x15-10
45,0.059322033898305086,32.0,20.0,2.870011059443156,0.001,0.0,20x20-10
46,0.06798245614035088,32.0,20.0,2.861102247238159,0.001,0.0,25x25-10
47,0.08977035490605428,32.0,20.0,2.858127991358439,0.001,0.0,5x60-10
48,0.06804123711340206,64.0,10.0,2.88320454955101,0.001,0.0,15x15-10
49,0.0423728813559322,64.0,10.0,2.8840262591838837,0.001,0.0,20x20-10
50,0.05263157894736842,64.0,10.0,2.8827032148838043,0.001,0.0,25x25-10
51,0.060542797494780795,64.0,10.0,2.883969336748123,0.001,0.0,5x60-10
52,0.05979381443298969,64.0,15.0,2.883296102285385,0.001,0.0,15x15-10
53,0.057203389830508475,64.0,15.0,2.88312765955925,0.001,0.0,20x20-10
54,0.06359649122807018,64.0,15.0,2.8776757419109344,0.001,0.0,25x25-10
55,0.060542797494780795,64.0,15.0,2.8811419010162354,0.001,0.0,5x60-10
56,0.0577319587628866,64.0,20.0,2.882980614900589,0.001,0.0,15x15-10
57,0.05508474576271186,64.0,20.0,2.8759347200393677,0.001,0.0,20x20-10
58,0.06578947368421052,64.0,20.0,2.8783151507377625,0.001,0.0,25x25-10
59,0.054279749478079335,64.0,20.0,2.8800430297851562,0.001,0.0,5x60-10
60,0.061855670103092786,128.0,10.0,2.8868128061294556,0.001,0.0,15x15-10
61,0.0423728813559322,128.0,10.0,2.888969123363495,0.001,0.0,20x20-10
62,0.07017543859649122,128.0,10.0,2.8858182430267334,0.001,0.0,25x25-10
63,0.054279749478079335,128.0,10.0,2.888065218925476,0.001,0.0,5x60-10
64,0.07422680412371134,128.0,15.0,2.884157359600067,0.001,0.0,15x15-10
