,acc,batch_size,epoch,loss,lr,trial_num,wxh-stride
0,0.10477941176470588,32.0,10.0,3.0584915105034325,0.0001,0.0,15x15-10
1,0.045112781954887216,32.0,10.0,3.5322096207562614,0.0001,0.0,20x20-10
2,0.08349514563106795,32.0,10.0,3.52188235170701,0.0001,0.0,25x25-10
3,0.06493506493506493,32.0,10.0,3.5942996109233185,0.0001,0.0,5x60-10
4,0.11213235294117647,32.0,15.0,3.408356217777028,0.0001,0.0,15x15-10
5,0.05263157894736842,32.0,15.0,3.4982706658980427,0.0001,0.0,20x20-10
6,0.0854368932038835,32.0,15.0,3.501484744689044,0.0001,0.0,25x25-10
7,0.07050092764378478,32.0,15.0,3.50903985079597,0.0001,0.0,5x60-10
8,0.1801470588235294,32.0,20.0,3.3616715459262623,0.0001,0.0,15x15-10
9,0.05263157894736842,32.0,20.0,3.479991492103128,0.0001,0.0,20x20-10
10,0.08932038834951456,32.0,20.0,3.389921370674582,0.0001,0.0,25x25-10
11,0.07050092764378478,32.0,20.0,3.5052779422086826,0.0001,0.0,5x60-10
12,0.08823529411764706,64.0,10.0,3.896043300628662,0.0001,0.0,15x15-10
13,0.03571428571428571,64.0,10.0,3.9107062816619873,0.0001,0.0,20x20-10
14,0.0854368932038835,64.0,10.0,3.920457813474867,0.0001,0.0,25x25-10
15,0.055658627087198514,64.0,10.0,3.997461292478773,0.0001,0.0,5x60-10
16,0.06801470588235294,64.0,15.0,3.63978287908766,0.0001,0.0,15x15-10
17,0.043233082706766915,64.0,15.0,3.666891786787245,0.0001,0.0,20x20-10
18,0.08349514563106795,64.0,15.0,3.737148496839735,0.0001,0.0,25x25-10
19,0.06307977736549165,64.0,15.0,3.801421430375841,0.0001,0.0,5x60-10
20,0.06066176470588235,64.0,20.0,3.481883075502184,0.0001,0.0,15x15-10
21,0.045112781954887216,64.0,20.0,3.512498617172241,0.0001,0.0,20x20-10
22,0.08349514563106795,64.0,20.0,3.4294999175601535,0.0001,0.0,25x25-10
23,0.06679035250463822,64.0,20.0,3.59757924079895,0.0001,0.0,5x60-10
24,0.11764705882352941,128.0,10.0,4.048541164398193,0.0001,0.0,15x15-10
25,0.05263157894736842,128.0,10.0,4.055056953430176,0.0001,0.0,20x20-10
26,0.10485436893203884,128.0,10.0,4.052803802490234,0.0001,0.0,25x25-10
27,0.07050092764378478,128.0,10.0,4.08527889251709,0.0001,0.0,5x60-10
