lr,batch_size,epoch,wxh-stride,acc,loss,trial_num
0.0001,32.0,10.0,15x15-10,0.07205882352941176,2.8838374109829177,4.5
0.0001,32.0,10.0,20x20-10,0.0661654135338346,2.8862727866453284,4.5
0.0001,32.0,10.0,25x25-10,0.06796116504854369,2.8873292011373186,4.5
0.0001,32.0,10.0,5x60-10,0.05584415584415585,2.8897721571080828,4.5
0.0001,32.0,15.0,15x15-10,0.07352941176470587,2.8798507690429687,4.5
0.0001,32.0,15.0,20x20-10,0.08007518796992481,2.882399786219877,4.5
0.0001,32.0,15.0,25x25-10,0.0662135922330097,2.8835305227952843,4.5
0.0001,32.0,15.0,5x60-10,0.06419294990723563,2.8875884042066686,4.5
0.0001,32.0,20.0,15x15-10,0.07481617647058823,2.875453014934764,4.5
0.0001,32.0,20.0,20x20-10,0.08233082706766919,2.878424183060141,4.5
0.0001,32.0,20.0,25x25-10,0.06796116504854369,2.8780584054834706,4.5
0.0001,32.0,20.0,5x60-10,0.0738404452690167,2.885219860076904,4.5
0.0001,64.0,10.0,15x15-10,0.057720588235294114,2.8886977354685466,4.5
0.0001,64.0,10.0,20x20-10,0.05093984962406015,2.890382618374294,4.5
0.0001,64.0,10.0,25x25-10,0.05184466019417475,2.8923895570966933,4.5
0.0001,64.0,10.0,5x60-10,0.05435992578849722,2.892106480068631,4.5
0.0001,64.0,15.0,15x15-10,0.0670955882352941,2.8861066791746355,4.5
0.0001,64.0,15.0,20x20-10,0.05601503759398496,2.8880082607269286,4.5
0.0001,64.0,15.0,25x25-10,0.06058252427184465,2.890731019443936,4.5
0.0001,64.0,15.0,5x60-10,0.05565862708719852,2.8915035168329872,4.5
0.0001,64.0,20.0,15x15-10,0.07352941176470587,2.8846403121948243,4.5
0.0001,64.0,20.0,20x20-10,0.06973684210526317,2.885399450196161,4.5
0.0001,64.0,20.0,25x25-10,0.06757281553398058,2.8864902151955496,4.5
0.0001,64.0,20.0,5x60-10,0.05584415584415585,2.889994790818956,4.5
0.0001,128.0,10.0,15x15-10,0.06764705882352941,2.8918106985092162,4.5
0.0001,128.0,10.0,20x20-10,0.051127819548872175,2.8931167936325077,4.5
0.0001,128.0,10.0,25x25-10,0.05533980582524271,2.8960176515579223,4.5
0.0001,128.0,10.0,5x60-10,0.05083487940630799,2.893431277275085,4.5
0.0001,128.0,15.0,15x15-10,0.06213235294117646,2.889619064331055,4.5
0.0001,128.0,15.0,20x20-10,0.05093984962406015,2.891451873779297,4.5
0.0001,128.0,15.0,25x25-10,0.05126213592233009,2.895797281265259,4.5
0.0001,128.0,15.0,5x60-10,0.05714285714285715,2.89420120716095,4.5
0.0001,128.0,20.0,15x15-10,0.057720588235294114,2.8901396608352665,4.5
0.0001,128.0,20.0,20x20-10,0.05093984962406015,2.8886582040786744,4.5
0.0001,128.0,20.0,25x25-10,0.04699029126213593,2.890908689498901,4.5
0.0001,128.0,20.0,5x60-10,0.05473098330241187,2.8926451730728147,4.5
0.001,32.0,10.0,15x15-10,0.4115808823529412,2.239696539850796,4.5
0.001,32.0,10.0,20x20-10,0.23045112781954885,2.5205395095488603,4.5
0.001,32.0,10.0,25x25-10,0.32543689320388347,2.379410982833189,4.5
0.001,32.0,10.0,5x60-10,0.12486085343228201,2.7124796460656557,4.5
0.001,32.0,15.0,15x15-10,0.9571691176470587,0.3644932252738406,4.5
0.001,32.0,15.0,20x20-10,0.6834586466165413,1.1936591851360658,4.5
0.001,32.0,15.0,25x25-10,0.8168932038834953,0.8547325975316411,4.5
0.001,32.0,15.0,5x60-10,0.2777365491651206,2.081846133400412,4.5
0.001,32.0,20.0,15x15-10,0.9957720588235294,0.050042784959077824,4.5
0.001,32.0,20.0,20x20-10,0.9828947368421053,0.2125293607440065,4.5
0.001,32.0,20.0,25x25-10,0.9906796116504856,0.12919421621105254,4.5
0.001,32.0,20.0,5x60-10,0.363821892393321,1.6026875397738292,4.5
0.001,64.0,10.0,15x15-10,0.10275735294117647,2.8400412638982138,4.5
0.001,64.0,10.0,20x20-10,0.09605263157894736,2.8478307512071397,4.5
0.001,64.0,10.0,25x25-10,0.0829126213592233,2.840749579005771,4.5
0.001,64.0,10.0,5x60-10,0.06326530612244899,2.8665035327275596,4.5
0.001,64.0,15.0,15x15-10,0.18216911764705884,2.7480728281868827,4.5
0.001,64.0,15.0,20x20-10,0.1317669172932331,2.775150860680474,4.5
0.001,64.0,15.0,25x25-10,0.14485436893203882,2.759425666597154,4.5
0.001,64.0,15.0,5x60-10,0.07588126159554733,2.8283477279875013,4.5
0.001,64.0,20.0,15x15-10,0.4329044117647059,2.228671012984382,4.5
0.001,64.0,20.0,20x20-10,0.24285714285714283,2.481987815433078,4.5
0.001,64.0,20.0,25x25-10,0.3394174757281553,2.3527048269907636,4.5
0.001,64.0,20.0,5x60-10,0.12653061224489792,2.7143618610170153,4.5
0.001,128.0,10.0,15x15-10,0.07316176470588234,2.8733889055252075,4.5
0.001,128.0,10.0,20x20-10,0.07612781954887218,2.8763412761688234,4.5
0.001,128.0,10.0,25x25-10,0.07747572815533979,2.8747919034957885,4.5
0.001,128.0,10.0,5x60-10,0.0673469387755102,2.883299212455749,4.5
0.001,128.0,15.0,15x15-10,0.08290441176470588,2.858710165023804,4.5
0.001,128.0,15.0,20x20-10,0.09360902255639096,2.862750234603882,4.5
0.001,128.0,15.0,25x25-10,0.07728155339805823,2.863502583503723,4.5
0.001,128.0,15.0,5x60-10,0.06400742115027828,2.87801784992218,4.5
0.001,128.0,20.0,15x15-10,0.10183823529411765,2.841291289329529,4.5
0.001,128.0,20.0,20x20-10,0.10883458646616542,2.845383014678955,4.5
